Scheme Name,Eligible Categories,Eligible Genders,Max Income,Age Range,Disability Required,Rural Only,Business Types
Export Promotion Capital Goods (EPCG) Scheme,ANY,female,"₹100,000,000",18-65,No,No,"Export Promotion, Capital Goods, Duty Exemption, Foreign Trade, Manufacturing, MSME Support"
Export Promotion Council Membership Reimbursement Scheme for Scheduled Caste/Scheduled Tribe,"SC, ST",ANY,No cap / not found,Not found,No,No,ANY
Fast Track / Fisheries / Foreign Fellowship Scheme (FFS),ANY,female,"₹600,000",18-40,No,No,"Fellowship, Higher Education, Research, Fisheries Development, Scholarship, Student Support"
Financial Assistance To Disabled For Self Employment,ANY,ANY,"₹100,000",18-50,Yes,No,ANY
Financial Assistance To Ex-Convicts,General,female,No cap / not found,Not found,No,No,"Small Business, Self-Employment, Income-Generating Activities, Micro-enterprise"
Financial Assistance to Industrial Parks: Assistance on Fixed Capital Investment,ANY,ANY,No cap / not found,Not found,No,No,ANY
Financial Assistance to Industrial Parks: Infrastructure Facilities,ANY,ANY,No cap / not found,Not found,No,No,ANY
Financial Assistance to Industrial Parks: Stamp Duty,ANY,ANY,No cap / not found,Not found,No,No,ANY
Financial Assistance to Non Governmental Organisations,ANY,ANY,No cap / not found,Not found,Yes,No,ANY
Flexi-MoU Scheme for Skill Training / Vocational Training,ANY,female,"₹500,000,000",15-45,No,No,"Skill Development, Vocational Training, Employment, Industry Partnership, MSDE, DGT"
"Futkar Sabji, Phal-Phool Vikreta Hetu Taraju, Baat Evan Tokari Sahaayata Yojana",ANY,ANY,No cap / not found,18-100,No,No,ANY
GROUP WORKSHED SCHEME,ANY,ANY,No cap / not found,Not found,No,No,handicraft
Gadiya Lohar Raw Material Purchase Grant-in-aid Scheme,ANY,ANY,No cap / not found,Not found,No,No,ANY
Gatidhara Scheme,"OBC, SC, ST",female,"₹300,000",25-45,No,No,"Commercial Transport, Transport Service, Small Commercial Vehicle, Logistics"
Generator Subsidy,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, MSME"
"Goa (Technical/ Vocational Training To Sex Workers And Sexually Abused Women) Scheme, 2013 (PRABHAT)",ANY,female,No cap / not found,Not found,No,No,ANY
"Goa State Employment Subsidy Scheme for the Industries, 2008",ANY,female,No cap / not found,Not found,No,No,"manufacturing, trading"
"Goa State Export Market Development Scheme, 2008",ANY,ANY,No cap / not found,Not found,No,No,trading
"Goa State Financial Incentives to the Industries for Certification and Patenting Scheme, 2008",ANY,ANY,No cap / not found,Not found,No,No,"trading, services, education, healthcare"
Grant for Incubation Centers within Educational Institutes Scheme,ANY,ANY,No cap / not found,Not found,No,No,education
Grant of Quality Certification Reimbursement of Charges,ANY,ANY,No cap / not found,Not found,No,No,MSME
Grant-in-Aid Scheme To Provide Financial Assistance To The Mahila Mandals/ Women’s Self-help Groups (SWAWLAMBHAN),ANY,female,No cap / not found,Not found,No,No,ANY
Group Supply Of Goats And Sheep,ANY,ANY,No cap / not found,Not found,No,No,ANY
Gujarat Textile Policy: Assistance for Quality Certification,ANY,ANY,No cap / not found,Not found,No,No,ANY
Gujarat Textile Policy: Assistance for Saving in Consumption of Energy and Water,ANY,ANY,No cap / not found,Not found,No,No,ANY
Gujarat Textile Policy: Assistance for Technology Acquisition,ANY,ANY,No cap / not found,Not found,No,No,ANY
Gujarat Textile Policy: Assistance to SHG for Job Work,ANY,female,No cap / not found,Not found,No,No,ANY
Gujarat Textile Policy: Assistance to SHG for Job Work (Fiscal Incentives to Labour Intensive Unit),ANY,female,No cap / not found,Not found,No,No,ANY
Gujarat Textile Policy: Capital Subsidy,ANY,ANY,No cap / not found,Not found,No,No,manufacturing
Gujarat Textile Policy: Capital Subsidy (Fiscal Incentives to Labour Intensive Unit),ANY,female,No cap / not found,Not found,No,No,manufacturing
Gujarat Textile Policy: Interest Subsidy,ANY,ANY,No cap / not found,Not found,No,No,manufacturing
Gujarat Textile Policy: Interest Subsidy (Fiscal Incentives to Labour Intensive Unit),ANY,female,No cap / not found,Not found,No,No,manufacturing
Gujarat Textile Policy: Payroll Assistance,ANY,ANY,No cap / not found,Not found,No,No,ANY
Gujarat Textile Policy: Payroll Assistance (Fiscal Incentives to Labour Intensive Unit),ANY,ANY,No cap / not found,Not found,No,No,ANY
Gujarat Textile Policy: Power Tariff Subsidy,ANY,ANY,No cap / not found,Not found,No,No,manufacturing
Gujarat Textile Policy: Power Tariff Subsidy (Fiscal Incentives to Labour Intensive Unit),ANY,female,No cap / not found,Not found,No,No,manufacturing
Handicraft & Handloom Cluster Comprehensive Credit & Credit Guarantee Scheme (SCMHCHCCCG),ANY,female,No cap / not found,18-70,No,No,"Handicrafts, Handlooms, Credit Guarantee, Financial Assistance, Artisan Support, Cluster Development"
Handicraft Mela Participation,"General, OBC, SC, ST",female,No cap / not found,18-100,No,No,"Handicrafts, Cottage & Rural Industries, Traditional Crafts, Self-Employment, Artisans Market Access"
Handicrafts Export Award,ANY,ANY,No cap / not found,Not found,No,No,"handicraft, manufacturing"
Handloom Weaver Support & Student Scholarship Scheme (HSS),ANY,female,No cap / not found,16-30,No,No,"Handloom Weavers, Student Scholarship, Education Support, Welfare, Artisan Assistance"
Haryana Provision of Sports Equipment Scheme,ANY,ANY,No cap / not found,Not found,No,No,ANY
Hathkargha Samvardhan Sahayata,ANY,ANY,No cap / not found,Not found,No,No,handicraft
High Security Fish Egg Production and Quality Infrastructure Scheme,ANY,female,"₹10,000,000",18-65,No,No,"Fisheries, Aquaculture, Fish Seed Production, Quality Infrastructure, Agricultural Development"
Him Kukkut Palan Yojna,"General, SC, ST",ANY,No cap / not found,Not found,Yes,No,agriculture
Incentive Scheme for MSMEs in Powerloom Sector: Interest Subsidy on Term Loan,ANY,ANY,No cap / not found,Not found,No,No,MSME
Incentive Scheme for MSMEs in Powerloom Sector: State Capital Investment Subsidy,ANY,ANY,No cap / not found,Not found,No,No,MSME
Incentive Scheme for MSMEs in Powerloom Sector: Subsidy for Energy Efficiency,ANY,ANY,No cap / not found,Not found,No,No,MSME
Incentive Scheme for MSMEs in Powerloom Sector: Subsidy for Patent Registration,ANY,ANY,No cap / not found,Not found,No,No,MSME
Incentive Scheme for MSMEs in Powerloom Sector: Subsidy for Standard Quality Compliance,ANY,ANY,No cap / not found,Not found,No,No,MSME
Incentive Scheme for MSMEs in Powerloom Sector: Subsidy for State Goods and Services Tax (SGST),ANY,ANY,No cap / not found,Not found,No,No,MSME
Incentive Scheme for MSMEs in Powerloom Sector: Subsidy for Water Conservation/ Environment Compliance,ANY,ANY,No cap / not found,Not found,No,No,MSME
Incentive Scheme for MSMEs in Powerloom Sector: Subsidy on Stamp Duty and Registration Fees,ANY,ANY,No cap / not found,Not found,No,No,MSME
Incentive Scheme for MSMEs in Powerloom Sector: Waiver of Electricity Duty,ANY,ANY,No cap / not found,Not found,No,No,MSME
Incentive Scheme for MSMEs in Powerloom Sector: Work Force Welfare Assistance,ANY,ANY,No cap / not found,Not found,No,No,MSME
Incentive Scheme for Sericulture Reelers,Minority,ANY,"₹600,000",18-55,No,No,education
"Incentives to Encourage Consumption of Local Raw Material Scheme, 2008",ANY,ANY,No cap / not found,Not found,No,No,"agriculture, manufacturing, trading"
"Incentives to Women Entrepreneurs Scheme, 2008",ANY,female,No cap / not found,Not found,No,No,services
Incentives/Subsidies for Setting Up Micro Food Processing Units,ANY,female,No cap / not found,18-60,No,No,"Food Processing, Micro Enterprise, Capital Subsidy, Manufacturing"
Incubation Scheme,ANY,ANY,No cap / not found,Not found,No,No,"MSME, startup"
Indian Scheme for Advanced Research and Education (ICARE),ANY,female,No cap / not found,18-40,No,No,"Higher Education, Research, Fellowship, Academic Development, Science and Technology"
Industrial Promotion Subsidy (IPS),ANY,female,No cap / not found,18-65,No,No,"Industrial Promotion, Tax Exemption, Capital Subsidy, Manufacturing, MSME"
Industrial R&D Promotion Programme: Recognition Of In-House R&D Units,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, services, startup"
Industrial Sector Scheme (HSFDC),ANY,ANY,"₹180,000",Not found,No,No,ANY
"Infrastructure Promotion, Skill & Financial Training Support for Micro Vendors & Urban Enterprises (IPSFTSVMU)",ANY,female,No cap / not found,18-65,No,No,"Urban Vendors, Micro Enterprises, Skill Training, Financial Support, Infrastructure Promotion, Welfare"
Innovations for Defence Excellence,ANY,ANY,No cap / not found,Not found,No,No,"MSME, startup"
Innovations for Defence Excellence (iDEX),ANY,female,"₹150,000,000",18-65,No,No,"Defence Innovation, Startups, R&D, Technology Development, Aatmanirbhar Bharat, Defence Production"
Integrated Scheme for Export Promotion & Quality Improvement in Spices and Research and Development of Cardamom: Export Oriented Production: Large Cardamom Certified Nursery (Unit),ANY,ANY,No cap / not found,Not found,No,No,agriculture
Intellectual Property Right Scheme Under MSME Innovative Scheme,ANY,ANY,No cap / not found,Not found,No,No,MSME
Intellectual Property Rights (IPR) Reimbursement Scheme,ANY,ANY,No cap / not found,Not found,No,No,"services, startup"
Interest Equalization / Promotion Scheme for Enterprises (IEPLSS),ANY,female,No cap / not found,Not found,No,No,"Industrial Development, Financial Assistance, Interest Subvention, Credit Support, Manufacturing"
Interest Subsidy Reimbursement Scheme,ANY,ANY,No cap / not found,Not found,No,No,startup
Interest Subsidy Scheme / Interest Subvention Scheme (IS),ANY,female,"₹1,000,000",18-70,No,No,"Financial Assistance, Interest Subsidy, Loan Concession, Banking, Priority Sector"
Interest Subsidy Scheme for Scheduled Caste/Scheduled Tribe Entrepreneurs,"SC, ST",ANY,No cap / not found,Not found,No,No,ANY
Interest Subsidy Scheme for Smaller Business Units,ANY,ANY,No cap / not found,Not found,No,No,ANY
"Interest Subsidy Scheme, 2008",ANY,ANY,No cap / not found,Not found,No,No,trading
Interest Subvention Scheme,ANY,ANY,No cap / not found,Not found,No,No,ANY
Interest Subvention and Market Development Assistance Scheme (ICS-MDA),ANY,female,"₹5,000,000",18-65,No,No,"Market Development, Export Promotion, Interest Subvention, MSME Support, Financial Assistance"
International Cooperation Scheme- Capacity Building of First Time MSE Exporters,ANY,ANY,No cap / not found,Not found,No,No,ANY
International Cooperation Scheme- Market Development Assistance,"SC, ST",female,No cap / not found,Not found,No,No,MSME
Internet Subsidy Scheme,ANY,ANY,No cap / not found,Not found,No,No,ANY
Investment Promotion Scheme (IPS) For Cottage Industries: Financial Assistance To Cottage Industries,ANY,ANY,No cap / not found,18-100,No,No,handicraft
Investment Promotion Scheme (IPS) For Handicraft Artisans: Assistance For Capital Investment For The Handloom And Handicrafts Artisans Of The U.T. Requiring Financial Assistance For Purchase Of Machinery Or Raw Materials,ANY,ANY,No cap / not found,18-100,No,No,handicraft
Investment Promotion Scheme (IPS) For Handicraft Artisans: Assistance For Capital Investment To Uplift The Economic Condition Of Artisans/ Persons,"EWS, OBC, SC, ST",ANY,"₹200,000",18-100,No,No,handicraft
Investment Promotion Scheme (IPS) for MSME Sector: Assistance For Capital Investment In Solar Power Generation,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, services, MSME"
Investment Promotion Scheme (IPS) for MSME Sector: Assistance For Entrepreneurship Under Skill Development,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, services, MSME"
Investment Promotion Scheme (IPS) for MSME Sector: Assistance For Participation In Industrial Exhibitions Abroad,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, services, MSME"
Investment Promotion Scheme (IPS) for MSME Sector: Assistance For Patent Registration /Trade Mark Registration,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, trading, services, MSME"
Investment Promotion Scheme (IPS) for MSME Sector: Assistance For Quality Certification,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, services, MSME"
Investment Promotion Scheme (IPS) for MSME Sector: Assistance For Saving In Consumption Of Energy And Water,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, services, MSME"
Investment Promotion Scheme (IPS) for MSME Sector: Assistance For Zed Certification,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, services, MSME"
Investment Promotion Scheme (IPS) for MSME Sector: Assistance To Small And Medium Enterprises (SME) For Raising Of Capital Through SME Exchange,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, services, MSME"
Investment Promotion Scheme (IPS) for MSME Sector: Assistance of Fixed Capital Investment Subsidy,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, services, MSME"
Investment Promotion Scheme (IPS) for MSME Sector: Assistance of Interest Subsidy,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, services, MSME"
Investment Promotion Scheme (IPS) for MSME Sector: Awards For MSMEs,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, services, MSME"
Investment Promotion Scheme (IPS) for MSME Sector: Incentive For Local Employment,ANY,ANY,No cap / not found,18-100,No,No,"manufacturing, services, MSME"
Investment Promotion Scheme (IPS) for MSME Sector: Incentives For Doubling Of Export Values,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, services, MSME"
Investment Promotion Scheme (IPS) for MSME Sector: Reimbursement Of Free On Board (FOB) Expenses,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, services, MSME"
Investment Promotion Scheme (IPS) for Textile Sector: Assistance Of Interest Subsidy For Textile Sector,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, services, MSME"
Investment Promotion Scheme (IPS) for Thrust Sectors: Assistance For Furniture Sector,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, services, MSME"
"Investment Promotion Scheme (IPS) for Thrust Sectors: Assistance For Marble, IT & ITES, Electric Vehicles & Spare Parts, Toys Units And Semi-Conduct or Industries Sectors",ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, services, MSME"
Investment Promotion Scheme (IPS) for Thrust Sectors: Scheme For Food Processing Industries,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, services, MSME"
Investment Promotion Scheme (IPS) for Thrust Sectors: Scheme For Marine Products Processing Units,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, services, MSME"
"Investment Promotion Scheme (IPS) for Thrust Sectors: Scheme For Medical Equipment And Accessories, Medical Diagnostics And Ayush Products Manufacturing Units",ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, services, MSME"
Investment Promotion Scheme (IPS) for Thrust Sectors: Scheme For Vaccine Manufacturing Units,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, services, MSME"
Investment Promotion Scheme (IPS): Environment Protection Infrastructure Subsidy,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, services, MSME"
Investment Promotion Scheme (IPS): Scheme For Reimbursement Of Stamp Duty,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, services, MSME"
Jal Jeevan Scheme / Jeevan Dhara Scheme,ANY,female,No cap / not found,18-65,No,No,"Rural Development, Drinking Water, Irrigation, Infrastructure, Public Health"
Jeevanam Self-Employment Scheme To Dependents Of Crime Victims,General,female,"₹100,000",Not found,No,No,"Self-Employment, Small Business, Micro-enterprise, Income-Generating Activities"
Jharkhand Mukhyamantri Gram Gadi Yojana,ANY,ANY,No cap / not found,Not found,No,Yes,healthcare
Jhota Buggi/Camel/Mule Cart Scheme (HSFDC),ANY,ANY,"₹180,000",Not found,No,No,ANY
Junior Doctor and Research Contributory Support Scheme (JDRCS),ANY,female,No cap / not found,21-40,No,No,"Healthcare, Medical Research, Junior Doctor Support, Academic Fellowship, Health Welfare"
Kaimagga Vikasa Yojana - Karnataka,ANY,female,No cap / not found,Not found,No,No,handicraft
Kayaka Spoorthi Scheme Karnataka,ANY,female,"₹30,000",Not found,No,No,handicraft
Kerala Stressed MSMEs Revival & Rehabilitation Scheme,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, MSME"
Khadi Karigar Janashree Bima Yojana,ANY,ANY,No cap / not found,18-59,No,No,handicraft
Kisan Kalyan / Krishi Jeevan Jyoti / Kanti Velugu / Kishori Shakti Yojana (KKJBY),ANY,female,"₹200,000",18-60,No,Yes,"Farmer Welfare, Rural Development, Social Security, Financial Assistance, Insurance"
LIDCOM Gattai Stall Scheme,ANY,female,"₹100,000",18-50,No,No,"Leatherwork, Cobbling, Footwear Repair, Small Retail Stall"
LIDCOM Training Scheme,ANY,ANY,"₹100,000",18-50,No,No,education
Laghu Varap Sanch Yojana (LVSH),"General, SC, ST",female,No cap / not found,Not found,No,No,"Animal Husbandry, Goat & Sheep Rearing, Poultry Farming, Livestock Management, Small Enterprise"
Laghu Vyavassay Scheme,ANY,ANY,"₹150,000",18-45,No,No,ANY
Lal Bahadur Shastri National Scholarship / Student Support Scheme (LBSSK-SMS),ANY,female,"₹300,000",Oct-30,No,No,"Education, Scholarship, Student Welfare, Merit Support, Financial Assistance"
Lal Bahadur Shastri Skill Development & Youth Yojana (LBSSK-SUY),ANY,female,No cap / not found,15-40,No,No,"Skill Development, Youth Empowerment, Vocational Training, Education, National Welfare"
Land/Built-Up Area Rebate Scheme,ANY,ANY,No cap / not found,Not found,No,No,ANY
"Leadership, Education and Advancement Program for Students (LEAPS)",ANY,female,No cap / not found,16-30,No,No,"Education, Leadership, Skill Development, Student Welfare, Academic Advancement"
Lease Rental Rebate Scheme for Goan Diaspora,ANY,ANY,No cap / not found,Not found,No,No,ANY
Lease Rental Subsidy Scheme,ANY,ANY,No cap / not found,Not found,No,No,ANY
Livelihood Business Support Scheme for Grassroots and Tribal Livelihoods (LBSSF-GTL),ANY,female,"₹300,000",18-60,No,No,"Tribal Welfare, Grassroots Livelihoods, Rural Enterprise, Craft Promotion, Financial Assistance"
Loan Based Schemes For Safai Karamchari - General Term Loan (GTL),ANY,ANY,No cap / not found,Not found,No,Yes,"education, healthcare"
Loan Based Schemes For Safai Karamchari - Sanitary Marts Scheme,ANY,ANY,No cap / not found,Not found,No,Yes,"education, healthcare"
Loan Based Schemes For Safai Karamchari - Swachhta Udyami Yojana – Swachhta Se Sampannta Ki Aur,ANY,ANY,No cap / not found,Not found,No,Yes,"education, healthcare"
Loan for the Purchase of Tools (GBOCWWB),ANY,ANY,No cap / not found,18-60,No,No,services
Long Term-Loan to SC Co-op Spinning Mills under Special Component Plan,ANY,ANY,No cap / not found,Not found,No,No,agriculture
Low Tension Power Tariff (LTPT) Subsidy,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, services"
MSME Sustainable (ZED) Certification Scheme,ANY,ANY,No cap / not found,Not found,No,No,MSME
Madhugram Scheme Uttarakhand,ANY,ANY,No cap / not found,Not found,No,No,agriculture
Mahila Adhikarita Yojana under NSKFDC- Haryana,ANY,female,No cap / not found,18-55,No,No,"education, healthcare"
Mahila Artisan / Safai Karamchari Financial & Development Scheme (MAYNSKFDC-H),Minority,female,No cap / not found,18-60,No,No,"Safai Karamchari, Artisan Support, Women Empowerment, Concessional Loans, Social Justice, Livelihood"
Mahila Kalyan & Youth Assistance Scheme (MAKY),EWS,female,No cap / not found,18-60,No,No,"Mahila Kalyan, Youth Assistance, Women Empowerment, Vocational Training, Financial Grant, Welfare"
"Mahila Kamgar Kaushal Unnayan Evan Theka Shramik, Hamaal Tatha Ghareloo Mahila Kamgaar Parivar Sashaktikaran Yojana",ANY,female,No cap / not found,Not found,No,No,ANY
Mahila Kisan Yojana,ANY,female,"₹150,000",Not found,No,No,ANY
Mahila Samiriddhi Yojana for Backward Classes- Haryana,"Minority, SC",female,"₹300,000",18-55,No,No,ANY
Mahila Samriddhi Yojana,"OBC, SC, ST",female,No cap / not found,18-55,No,No,ANY
Mahila Samriddhi Yojana (GNTDNT),ANY,female,"₹300,000",21-50,No,No,"Women Empowerment, Micro Finance, Nomadic & Denotified Tribes, Self-Employment, Micro Enterprise"
Mahila Samriddhi Yojana (GTKDC),"OBC, SC",female,"₹150,000",18-55,No,No,"Women Empowerment, Micro Finance, Self-Employment, Small Business, Retail, Cottage Industry"
Mahila Samridhi Yojana under NSKFDC- Haryana,ANY,female,No cap / not found,18-55,No,No,"education, healthcare"
Mahila Swavlamban Scheme,ANY,female,"₹120,000",Not found,No,No,ANY
"Mahila, Ambedkar & Janani Youth Welfare Scheme (MAJAJUY)",EWS,female,No cap / not found,18-60,No,No,"Women Empowerment, Youth Welfare, Livelihood Support, Financial Assistance, Social Justice, Welfare Grant"
Maintenance Grant to Institutions and Organizations Engaged in Cultural Activities,ANY,ANY,No cap / not found,Not found,No,No,ANY
Manav Garima Yojana,ANY,ANY,No cap / not found,18-60,No,No,ANY
Margin Money Scheme for Handloom Artisans (NHDP),"General, OBC, SC, ST",female,No cap / not found,Not found,No,No,"Handloom, Textiles, Artisans, Micro Credit, Financial Assistance, Weaver Support"
Market Development Assistance to MSMEs: Assistance to MSME Manufacturing Sector Participation in the Exhibition (National and International),ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, trading, MSME"
Market Development Assistance to MSMEs: Assistance to Organizers for Organizing Industrial Exhibitions in Gujarat,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, MSME"
Market Support Scheme for Smaller Business Units,ANY,ANY,No cap / not found,Not found,No,No,ANY
Marketing Assistance Scheme,ANY,ANY,"₹30,000",Not found,No,No,handicraft
Marketing Development Assistance Scheme,ANY,ANY,No cap / not found,Not found,No,No,services
Matching Grant Scheme,ANY,ANY,No cap / not found,Not found,No,No,startup
Micro & Small Enterprises Cluster Development Scheme (MSZCS) / MSME Specialized Cluster Scheme,ANY,female,No cap / not found,18-70,No,No,"MSME, Cluster Development, Common Facility Center, Infrastructure Support, Industrial Growth"
Micro & Small Enterprises Women Welfare & Support Scheme (MSWS),ANY,female,No cap / not found,18-65,No,No,"Women Entrepreneurship, MSME Support, Financial Assistance, Welfare, Women Empowerment, Small Business"
Micro Credit Finance,ANY,ANY,"₹98,000",18-50,No,No,ANY
Micro Credit Finance (NSFDC),ANY,ANY,"₹300,000",Not found,No,No,ANY
Micro Credit Finance Scheme - National Scheduled Castes Finance and Development Corporation (MCFNSFDC),SC,female,"₹300,000",18-60,No,No,"SC Welfare, Micro Credit, Women Empowerment, Self Employment, Financial Assistance"
Micro Credit Finance under NSKFDC- Haryana,ANY,ANY,No cap / not found,18-55,No,No,"education, healthcare"
Micro Finance Scheme- Credit Line 1 for Minority Community,"Minority, SC",ANY,"₹98,000",18-55,No,No,ANY
Micro Finance Scheme- Credit Line 2 for Minority Community,"Minority, SC",ANY,"₹98,001",18-55,No,No,ANY
Migrants Employment Generation Programme,"General, Minority, SC, ST",female,"₹500,000",18-45,Yes,No,"manufacturing, trading, services, education"
Motivation Of Unemployed Persons To Start Self-Employed Enterprises Scheme,ANY,female,No cap / not found,3-100,No,No,education
Motivation of Entrepreneurs and Financial Assistance for Rehabilitation of Sick Industries,ANY,ANY,No cap / not found,Not found,No,No,MSME
Motivation of Unemployed Persons to Start Self-employed Enterprises,ANY,ANY,No cap / not found,3-100,No,No,services
Mukhayamantri Saur Swarojgar Yojna,ANY,female,No cap / not found,18-100,Yes,No,"services, education"
Mukhya Mantri Seekho Kamao Yojana,ANY,ANY,No cap / not found,18-29,No,No,education
Mukhya Mantri Yuva Udyami Yojana,ANY,ANY,No cap / not found,18-40,No,No,ANY
Mukhya mantri Swarojgar Yojana,ANY,ANY,No cap / not found,18-45,No,No,ANY
Mukhyamantri / Modern Minority / Artisan Development and Support Scheme (MMDAS),Minority,female,"₹300,000",18-60,No,No,"Minority Welfare, Artisan Support, Skill Development, Micro-Enterprise, Financial Grant"
Mukhyamantri Aarthik Kalyan Yojana,ANY,ANY,No cap / not found,18-55,No,No,services
Mukhyamantri Alpasankhyak Udyami Yojana,Minority,female,No cap / not found,18-50,No,No,ANY
Mukhyamantri Alpsankhyak Rozgar Rinn Yojana,Minority,female,"₹400,000",18-50,Yes,Yes,"services, education"
Mukhyamantri Anusuchit Jaati Vishesh Pariyojana Vitt Poshan Yojana,SC,ANY,No cap / not found,Not found,No,No,ANY
Mukhyamantri Anusuchit Jati / Anusuchit Janjati Udyami Yojana,"SC, ST",ANY,No cap / not found,18-50,No,No,ANY
Mukhyamantri Ati Pichhada Varg Udyami Yojana,ANY,ANY,No cap / not found,18-50,No,No,ANY
Mukhyamantri Gramin Swarojgar & Vikas Yojana (MGSVRY),ANY,female,No cap / not found,18-60,No,Yes,"Rural Development, Swarojgar, Self Employment, Livelihood Grant, Micro Enterprise, Rural Welfare"
Mukhyamantri Gramin Transport Scheme (MGPSS),"General, OBC, SC, ST",female,No cap / not found,18-60,No,Yes,"Transport Services, Rural Transport, Passenger Mobility, Small Enterprise"
Mukhyamantri Mahila & Yuva Udyami Vikas Yojana / Micro Business Scheme (MMUYB),ANY,female,No cap / not found,18-55,No,No,"Micro Enterprises, Women Empowerment, Youth Entrepreneurship, Business Loan, Subsidy, Livelihood"
Mukhyamantri Mahila Swarojgar Yojana (MMSY),ANY,female,"₹150,000",18-45,No,No,"Women Empowerment, Self-Employment, Rural Livelihoods, Micro Enterprise, Manufacturing, Services"
Mukhyamantri Mahila Udyami Yojana,ANY,female,No cap / not found,18-50,No,No,ANY
Mukhyamantri Nirmaan Majadur Kaushal vikaas evan Parivaar Sashaktikaran Yojana,ANY,ANY,No cap / not found,18-50,No,No,ANY
Mukhyamantri Samekit Chaur Vikas Yojana,ANY,ANY,No cap / not found,Not found,No,No,ANY
Mukhyamantri Vishesh Yogyajan Swaraozgar Yojana,ANY,ANY,"₹200,000",18-55,Yes,No,ANY
Mukhyamantri Yuva Swarojgar Yojana,"OBC, SC, ST",female,No cap / not found,18-35,Yes,No,ANY
Mukhyamantri Yuva Udyami Yojana,General,male,No cap / not found,18-50,No,No,ANY
Mukhyamantri Yuva Udyami Yojana (MAUYB),"General, OBC, SC, ST",female,No cap / not found,18-40,No,No,"Manufacturing, Service Sector, Micro & Small Enterprises, Entrepreneurship"
Mukhyamantri Yuva Udyami Yojana (MMUY),ANY,female,No cap / not found,18-45,No,No,"MSME, Youth Entrepreneurship, Term Loan, Capital Subsidy, Manufacturing"
Mukhyamatri Rojgaar Srijan Yojana,ANY,ANY,"₹500,000",18-50,Yes,No,ANY
National Apprenticeship Promotion Scheme (NAPS),ANY,female,No cap / not found,14-35,No,No,"Apprenticeship, Skill Development, Vocational Training, Employment, Youth Welfare"
National Apprenticeship Promotion Scheme-2,ANY,ANY,No cap / not found,Not found,No,No,ANY
National Crop Insurance / Agricultural Assistance Scheme (NCA),ANY,female,No cap / not found,18-70,No,Yes,"Agriculture, Crop Insurance, Risk Management, Farmer Welfare, Financial Security"
National Divyangjan Finance and Development Corporation Scheme (NDFADC),ANY,female,No cap / not found,18-70,Yes,No,"Divyangjan, Disability Welfare, Concessional Loans, Education Loans, Skill Training, Self Employment"
National Geospatial Awards / Scheme for Geospatial Innovation and Applications (NGA),ANY,female,"₹5,000,000",18-65,No,No,"Geospatial Technology, Science and Technology, Remote Sensing, GIS, Research Innovation"
National Handicraft Development Programme - Marketing & Emporia Support (NHDP-I&TS-Emporia),ANY,female,"₹500,000",18-65,No,No,"Handicrafts, Artisans, Marketing, Emporia Support, Textiles, Cultural Heritage"
National Handicrafts Development Programme: Infrastructure And Technology Support: EMPORIA,ANY,ANY,No cap / not found,Not found,No,No,handicraft
National Handicrafts Development Programme: Infrastructure And Technology Support: URBAN HAAT,ANY,ANY,No cap / not found,Not found,No,No,handicraft
National Handloom Development Programme - Infrastructure and Technical Support (NHDP-IANDTS-UH),ANY,female,No cap / not found,18-70,No,No,"Handlooms, Textiles, Weavers Support, Infrastructure Development, Technical Upgrade, Artisan Welfare"
National Livestock Mission: Establishment of Entrepreneurship for Breed Development of Rural Poultry,ANY,ANY,No cap / not found,Not found,No,Yes,agriculture
National Livestock Mission: Genetic Improvement of Pig Breeds - Import of Exotic Pig Germplasm,ANY,ANY,No cap / not found,Not found,No,No,agriculture
National Livestock Mission: Genetic Improvement of Pig breeds - Establishment of Pig Semen Collection and Processing Lab,ANY,ANY,No cap / not found,Not found,No,No,agriculture
